day,avg_1,avg_2
1,4353,4050
2,4353,4050
3,4353,4050
4,4353,4050
5,4353,4050
6,4353,4050
7,4353,4050
8,4353,4050
9,4353,4050
10,4353,4050
11,4353,4050
12,4353,4050
13,4353,4050
14,4353,4050
15,4353,4050
16,4353,4050
17,4353,4050
18,4353,4050
19,4353,4050
20,4353,4050
21,4353,4050
22,4353,4050
23,4353,4050
24,4353,4050
25,4353,4050
26,4353,4050
27,4353,4050
28,4353,4050
29,4353,4050
30,4353,4050
31,4353,4050
32,4353,4050
33,4353,4050
34,4353,4050
35,4353,4050
36,4353,4050
37,4353,4050
38,4353,4050
39,4353,4050
40,4353,4050
41,4353,4050
42,4353,4050
43,4353,4050
44,4353,4050
45,4353,4050
46,4353,4050
47,4353,4050
48,4353,4050
49,4353,4050
50,4353,4050
51,4353,4050
52,4353,4050
53,4353,4050
54,4353,4050
55,4353,4050
56,4353,4050
57,4353,4050
58,4353,4050
59,4353,4050
60,4353,4050
61,4353,4050
62,4353,4050
63,4353,4050
64,4353,4050
65,4353,4050
66,4353,4050
67,4353,4050
68,4353,4050
69,4353,4050
70,4353,4050
71,4353,4050
72,4353,4050
73,4353,4050
74,4353,4050
75,4353,4050
76,4800,4800
77,4800,4800
78,4800,4800
79,4800,4800
80,4800,4800
81,4800,4800
82,4800,4800
83,4800,4800
84,4800,4800
85,4800,4800
86,4800,4800
87,4800,4800
88,4800,4800
89,4800,4800
90,4800,4800
91,4800,4800
92,4800,4800
93,4800,4800
94,4800,4800
95,4800,4800
96,4800,4800
97,4800,4800
98,4800,4800
99,4800,4800
100,4800,4800
101,4800,4800
102,4800,4800
103,4800,4800
104,4800,4800
105,4800,4800
106,4800,4800
107,4800,4800
108,4800,4800
109,4800,4800
110,4800,4800
111,4800,4800
112,4800,4800
113,4800,4800
114,4800,4800
115,4800,4800
116,4800,4800
117,4800,4800
118,4800,4800
119,4800,4800
120,4800,4800
121,4800,4800
122,4800,4800
123,4800,4800
124,4800,4800
125,4800,4800
126,4800,4800
127,4800,4800
128,4800,4800
129,4800,4800
130,4800,4800
131,4800,4800
132,4800,4800
133,4800,4800
134,4800,4800
135,4800,4800
136,4800,4800
137,4800,4800
138,4800,4800
139,4800,4800
140,4800,4800
141,4800,4800
142,4800,4800
143,4800,4800
144,4800,4800
145,4800,4800